,KUERZUNGEN,GDE_NAME,BETRIEBE_TOTAL,KUERZUNGEN_BETRAG_AVG,ABJ_KANTON,GDE_CLEAN
706,5.0,Tafers,22,100.62058823529412,FR,Tafers
707,7.0,Tentlingen,13,145.2525,FR,Tentlingen
708,21.0,Ueberstorf,56,72.50689655172414,FR,Ueberstorf
709,21.0,Wünnewil-Flamatt,46,172.08069620253164,FR,Wünnewil-Flamatt
710,10.0,Attalens,15,116.74083333333333,FR,Attalens
711,5.0,Bossonnens,10,159.18333333333334,FR,Bossonnens
712,24.0,Châtel-Saint-Denis,105,413.5823880597015,FR,Châtel-Saint-Denis
713,3.0,Granges (Veveyse),9,240.2774193548387,FR,Granges
714,5.0,Remaufens,16,21.109615384615385,FR,Remaufens
715,32.0,Saint-Martin (FR),33,400.3604545454545,FR,Saint-Martin
716,6.0,Semsales,49,15.414080459770116,FR,Semsales
717,16.0,Le Flon,28,88.71600000000001,FR,Le Flon
718,23.0,La Verrerie,43,96.041059602649,FR,La Verrerie
719,2.0,Egerkingen,7,36.308928571428574,SO,Egerkingen
720,2.0,Härkingen,8,18.8171875,SO,Härkingen
721,4.0,Kestenholz,15,44.060833333333335,SO,Kestenholz
722,4.0,Neuendorf,16,39.28,SO,Neuendorf
723,8.0,Niederbuchsiten,20,65.88680555555555,SO,Niederbuchsiten
724,2.0,Oberbuchsiten,9,12.5,SO,Oberbuchsiten
725,5.0,Oensingen,15,1409.61625,SO,Oensingen
726,6.0,Wolfwil,16,98.07413793103447,SO,Wolfwil
727,4.0,Aedermannsdorf,20,167.7907894736842,SO,Aedermannsdorf
728,3.0,Balsthal,15,24.0,SO,Balsthal
729,2.0,Gänsbrunnen,14,11.457777777777778,SO,Gänsbrunnen
730,6.0,Herbetswil,27,87.5636842105263,SO,Herbetswil
731,4.0,Holderbank (SO),15,32.94117647058823,SO,Holderbank
732,4.0,Laupersdorf,31,85.06926605504586,SO,Laupersdorf
733,10.0,Matzendorf,28,45.63958333333333,SO,Matzendorf
734,17.0,Mümliswil-Ramiswil,83,101.50151515151515,SO,Mümliswil-Ramiswil
735,3.0,Welschenrohr,17,34.52177419354839,SO,Welschenrohr
736,1.0,Biezwil,10,89.05714285714286,SO,Biezwil
737,3.0,Lüterkofen-Ichertswil,14,15.427083333333334,SO,Lüterkofen-Ichertswil
738,4.0,Lüterswil-Gächliwil,7,215.10357142857143,SO,Lüterswil-Gächliwil
739,8.0,Messen,36,65.6748031496063,SO,Messen
740,8.0,Schnottwil,27,43.515662650602415,SO,Schnottwil
741,2.0,Unterramsern,9,33.45161290322581,SO,Unterramsern
742,3.0,Lüsslingen-Nennigkofen,20,13.546875,SO,Lüsslingen-Nennigkofen
743,17.0,Buchegg,63,40.815366972477065,SO,Buchegg
744,4.0,Büren (SO),11,135.81666666666666,SO,Büren
745,4.0,Gempen,12,59.66060606060606,SO,Gempen
746,6.0,Hochwald,17,20.86896551724138,SO,Hochwald
747,4.0,Hofstetten-Flüh,7,53.74285714285714,SO,Hofstetten-Flüh
748,6.0,Metzerlen-Mariastein,17,163.1648148148148,SO,Metzerlen-Mariastein
749,3.0,Nuglar-St. Pantaleon,12,287.2628205128205,SO,Nuglar-St. Pantaleon
750,1.0,Rodersdorf,11,92.38875,SO,Rodersdorf
751,7.0,Seewen,28,27.084065934065936,SO,Seewen
752,0.0,Hauenstein-Ifenthal,18,0.0,SO,Hauenstein-Ifenthal
753,10.0,Kienberg,21,301.5119718309859,SO,Kienberg
754,7.0,Lostorf,22,76.64571428571428,SO,Lostorf
755,2.0,Niedergösgen,10,60.06875,SO,Niedergösgen
756,2.0,Obergösgen,7,43.92857142857143,SO,Obergösgen
757,1.0,Rohr (SO),7,34.91428571428572,SO,Rohr
758,6.0,Stüsslingen,15,214.12181818181818,SO,Stüsslingen
759,1.0,Trimbach,10,111.66666666666667,SO,Trimbach
760,2.0,Winznau,12,135.90535714285713,SO,Winznau
761,3.0,Wisen (SO),13,138.45897435897436,SO,Wisen
762,6.0,Erlinsbach (SO),16,211.18,SO,Erlinsbach
763,11.0,Aeschi (SO),17,97.0625,SO,Aeschi
764,3.0,Biberist,14,251.5,SO,Biberist
765,9.0,Deitingen,19,149.12434210526317,SO,Deitingen
766,3.0,Derendingen,9,60.55555555555556,SO,Derendingen
767,5.0,Etziken,11,109.03157894736844,SO,Etziken
768,3.0,Halten,13,248.42027027027024,SO,Halten
769,2.0,Horriwil,9,8.911764705882353,SO,Horriwil
770,3.0,Oekingen,7,107.97708333333333,SO,Oekingen
771,1.0,Recherswil,9,74.10535714285713,SO,Recherswil
772,6.0,Subingen,11,197.64000000000001,SO,Subingen
773,1.0,Drei Höfe,9,4.0,SO,Drei Höfe
774,5.0,Balm bei Günsberg,14,78.50208333333333,SO,Balm bei Günsberg
775,4.0,Bellach,18,25.55,SO,Bellach
776,14.0,Bettlach,20,234.6831081081081,SO,Bettlach
777,12.0,Grenchen,35,173.86896551724138,SO,Grenchen
778,5.0,Günsberg,17,444.7556603773585,SO,Günsberg
779,7.0,Lommiswil,12,69.18295454545455,SO,Lommiswil
780,8.0,Oberdorf (SO),18,231.9362068965517,SO,Oberdorf
781,6.0,Riedholz,11,269.21125,SO,Riedholz
782,7.0,Rüttenen,10,165.03472222222223,SO,Rüttenen
783,8.0,Selzach,40,41.039310344827584,SO,Selzach
784,2.0,Boningen,7,738.8958333333334,SO,Boningen
785,6.0,Däniken,11,147.58055555555555,SO,Däniken
786,7.0,Dulliken,11,125.0,SO,Dulliken
787,8.0,Fulenbach,11,170.5284090909091,SO,Fulenbach
788,1.0,Gunzgen,7,232.59259259259258,SO,Gunzgen
789,2.0,Hägendorf,14,10.425531914893616,SO,Hägendorf
790,4.0,Kappel (SO),7,761.3275,SO,Kappel
791,10.0,Walterswil (SO),14,596.3696078431373,SO,Walterswil
792,7.0,Bärschwil,15,2858.4464285714284,SO,Bärschwil
793,6.0,Beinwil (SO),41,21.72517730496454,SO,Beinwil
794,3.0,Breitenbach,8,27.857142857142858,SO,Breitenbach
795,2.0,Büsserach,9,95.0515625,SO,Büsserach
796,2.0,Erschwil,10,88.90138888888889,SO,Erschwil
797,1.0,Fehren,8,3.9,SO,Fehren
798,2.0,Himmelried,13,62.44878048780488,SO,Himmelried
799,13.0,Kleinlützel,24,213.480625,SO,Kleinlützel
800,4.0,Meltingen,11,20.7027027027027,SO,Meltingen
801,3.0,Nunningen,20,16.540298507462687,SO,Nunningen
802,1.0,Aesch (BL),11,5.0,BL,Aesch
803,2.0,Allschwil,16,87.24444444444444,BL,Allschwil
804,3.0,Biel-Benken,13,37.5531914893617,BL,Biel-Benken
805,2.0,Ettingen,11,36.16486486486487,BL,Ettingen
806,4.0,Muttenz,8,59.375,BL,Muttenz
807,2.0,Oberwil (BL),13,43.75,BL,Oberwil
808,2.0,Schönenbuch,8,20.692307692307693,BL,Schönenbuch
809,0.0,Therwil,15,0.0,BL,Therwil
810,2.0,Blauen,7,194.89642857142857,BL,Blauen
811,2.0,Brislach,13,23.64673913043478,BL,Brislach
812,0.0,Dittingen,10,0.0,BL,Dittingen
813,1.0,Duggingen,9,65.41176470588235,BL,Duggingen
814,4.0,Laufen,7,90.34107142857144,BL,Laufen
815,3.0,Liesberg,10,19.994444444444444,BL,Liesberg
816,3.0,Nenzlingen,7,24.0,BL,Nenzlingen
817,1.0,Roggenburg,14,6.818181818181818,BL,Roggenburg
818,7.0,Wahlen,18,40.72727272727273,BL,Wahlen
819,3.0,Arisdorf,26,6.122448979591836,BL,Arisdorf
820,0.0,Bubendorf,15,0.0,BL,Bubendorf
821,1.0,Füllinsdorf,12,5.128205128205129,BL,Füllinsdorf
822,3.0,Hersberg,7,58.760000000000005,BL,Hersberg
823,5.0,Liestal,16,66.57672413793104,BL,Liestal
824,3.0,Pratteln,11,33.76470588235294,BL,Pratteln
825,0.0,Ziefen,17,0.0,BL,Ziefen
826,3.0,Anwil,13,22.29375,BL,Anwil
827,1.0,Buckten,7,8.333333333333334,BL,Buckten
828,3.0,Buus,29,10.057766990291263,BL,Buus
829,2.0,Gelterkinden,16,7.547169811320755,BL,Gelterkinden
830,2.0,Häfelfingen,15,7.6923076923076925,BL,Häfelfingen
831,1.0,Hemmiken,12,10.81081081081081,BL,Hemmiken
832,2.0,Kilchberg (BL),8,17.846153846153847,BL,Kilchberg
833,0.0,Läufelfingen,21,0.0,BL,Läufelfingen
834,1.0,Maisprach,18,6.0606060606060606,BL,Maisprach
835,3.0,Oltingen,19,9.836065573770492,BL,Oltingen
836,1.0,Ormalingen,16,5.2631578947368425,BL,Ormalingen
837,0.0,Rickenbach (BL),13,0.0,BL,Rickenbach
838,4.0,Rothenfluh,21,70.18461538461538,BL,Rothenfluh
